제목,링크,내용
<b>어린이보호구역</b> 단속카메라 절반은 '먹통'…경찰·지자체 '방치',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005636402,어린이보호구역의 교통사고 예방을 위한 이른바 민식이법 시행 이후 스쿨존 내에 과속단속카메라 설치는 크게 늘었지만 상당수가 무용지물인 것으로 나타났다 일 국회 행정안전위원회 소속 이형석 더불어민주당 
<b>어린이 보호구역</b>서 아이 들이받은 역주행 오토바이…누리꾼들 &quot;운전자 입장도...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004977787,아이들도 항상 주위를 잘 살피고 안전할 때 건너야 한다는 걸 부모들이 잘 교육할 필요성이 있는 영상 민식이법 논하기 전에 어린이보호구역 내 불법주차 차량을 강력단속하는 것이 먼저다 불법을 저지르고 있는 차들을 
포천시, <b>어린이보호구역</b> 4곳에 LED 바닥신호등 설치,http://www.kihoilbo.co.kr/news/articleView.html?idxno=940217,기호일보  아침을 여는 신문 포천시는 어린이들의 안전한 보행을 위해 어린이보호구역 내 횡단보도에  바닥신호등을 설치했다 바닥신호등을 설치한 곳은 왕방초 송우초 포천초 영북초 등 곳으로 
포천시, <b>어린이보호구역</b> LED 바닥신호등 4개소 설치,http://www.shinailbo.co.kr/news/articleView.html?idxno=1444483,경기도 포천시는 어린이들의 안전한 보행을 위해 어린이보호구역내 횡단보도에바닥신호등을 설치했다고일 밝혔다 이번에 바닥신호등을 설치한 곳은 왕방초송우초포천초영북초 등개소로 
포천시, <b>어린이보호구역</b> LED 바닥신호등 4개소 설치,https://www.sisa-news.com/news/article.html?no=166852,포천시는 어린이들의 안전한 보행을 위해 어린이보호구역 내 횡단보도에  바닥신호등을 설치했다고 밝혔다 바닥신호등을 설치한 곳은 왕방초 송우초 포천초 영북초 등 개소로 어린이보호구역 중 보행자의 통행이 
포천시, <b>어린이보호구역</b> LED 바닥신호등 4개소 설치,http://www.nbnnews.co.kr/news/articleView.html?idxno=529876,내외뉴스통신  신선호 기자 포천시는 일 어린이들의 안전한 보행을 위해 어린이보호구역 내 횡단보도에  바닥신호등을 설치했다고 밝혔다 바닥신호등을 설치한 곳은 왕방초 송우초 포천초 영북초 등 
<b>어린이 보호구역</b>서 시속 20㎞ 초과하면 보험료 할증 붙는다,http://www.ajunews.com/view/20210727082853201,속도 위반 및 보행자 보호 위반 시 최대  할증 박기람 기자  국토교통부 금융감독원 및 보험개발원은 보행자 최우선의 교통안전체계 구축의 일환으로 어린이 보호구역횡단보도 등에서 교통법규를 
<b>어린이</b>·노인 등 교통약자 <b>보호구역</b>서 ‘1회’만 과속해도 보험료 할증,http://www.newsway.co.kr/news/view?tp=1&ud=2021072710014878926,우선 오는 월부터 개시하는 자동차 보험에 어린이 보호구역 시속 를 초과하는 과속 회 위반 시 보험료  회 이상 위반 시 보험료 가 할증되는 내용을 담는다 노인 보호구역 및 장애인 보호구역 속도 
<b>어린이보호구역</b> 과속 위반시 보험료 인상,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005507723,비롯한 노인 보호구역과 장애인 보호구역에서 시속 를 초과한 운전자는 회 적발 시 보험료  회 이상 적발 시 보험료 를 더 올린다 사진은 일 서울의 한 초등학교 앞 어린이보호구역 뉴스
<b>어린이보호구역</b>에서 과속하면 보험료 10% 할증,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005507730,비롯한 노인 보호구역과 장애인 보호구역에서 시속 를 초과한 운전자는 회 적발 시 보험료  회 이상 적발 시 보험료 를 더 올린다 사진은 일 서울의 한 초등학교 앞 어린이보호구역 뉴스
<b>어린이보호구역</b>서 속도 위반하면 보험료 최대10% 할증,https://kizmom.hankyung.com/news/view.html?aid=202107271543o,앞으로 어린이보호구역이나 횡단보도에서 속도를 위반하면 위반 횟수에 따라 보험료가 최대  할증된다 국토교통부와 금융감독원 보험개발원은 어린이 보호구역 및 횡단보도 등에서 도로교통법을 위반한 운전자에 
<b>어린이보호구역</b> 20km 초과하면 보험료 10% 할증,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005507728,비롯한 노인 보호구역과 장애인 보호구역에서 시속 를 초과한 운전자는 회 적발 시 보험료  회 이상 적발 시 보험료 를 더 올린다 사진은 일 서울의 한 초등학교 앞 어린이보호구역 뉴스
<b>어린이 보호구역</b> 교통법규 위반시 車 보험료 최대 10% 할증,http://www.skyedaily.com/news/news_view.html?ID=137253,스카이데일리 앞으로 어린이 보호구역횡단보도 등에서 교통법규를 어기면 자동차 보험료가 오를 전망이다 일 국토교통부와 금융감독원은 어린이 보호구역 및 횡단보도 등에서 도로교통법을 위반한 
위험했던 부천 신흥초 통학로에 <b>어린이 보호구역</b> 지정,http://news.lghellovision.net/news/newsView.do?soCode=SCB0000000&idx=315944,부천 신흥초 학부모회 등은 일 그동안 불법 주정차와 교통 혼잡으로 인해 위험했던 부천로 번길 일대가 어린이 보호구역으로 확대 지정돼 공사에 들어간다고 전했습니다 이에 따라 늦어도 이달 중 일부 통학로에 주 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 설치 및 단속 예고,https://www.wikitree.co.kr/articles/673854,광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다시는 단속을 통해 불법 주정차로 인한 교통체증이 날로 심화되는 것을 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 설치 및 단속 예고,http://www.nbnnews.co.kr/news/articleView.html?idxno=527299,내외뉴스통신  정광훈 기자 전남 광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다 광양시는 단속을 통해 불법 주 
광양시, <b>어린이보호구역</b> 주·정차 단속 CCTV 추가 설치,http://www.smartfn.co.kr/view.php?ud=20210728102950190402c37af707_46,고정식  개소 설치 월 일부터 단속 전남 광양시는 일 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치했다고 밝혔다 광양시는 또한 불법 주정차로 인한 교통체증이 
광양시, <b>어린이보호구역</b> CCTV 추가 설치 등 불법 주·정차 단속 강화,http://www.cnbnews.com/news/article.html?no=504010, 뉴스  씨앤비뉴스 광양시청사진광양시 고정식  개소 설치 광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 11개소 추가 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=002&aid=0002202242,광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다 시는 단속을 통해 불법 주정차로 인한 교통체증이 날로 심화되는 것을 
장수경찰서, <b>어린이보호구역</b> 단속장비 설치지점 점검,http://sjbnews.com/news/news.php?number=720442,장수경찰서는 일 코로나 방역지침을 준수하면서 관계기관과 함께 어린이보호구역 고정식 무인 단속장비 설치지점에 대한 현장점검을 실시했다 이번 현장점검은 경찰 지자체 도로교통공단 등이 참여해 
장수경찰서, <b>어린이보호구역</b> 무인 단속장비 설치 현장점검,http://www.jeollailbo.com/news/articleView.html?idxno=634181,장수경찰서서장 권미자는 일 지역내 어린이보호구역 고정식 무인 단속 장비 설치지점에 대한 합동 현장점검을 실시했다 이번 현장점검은 경찰 지자체 도로교통공단 등이 참여해 어린이보호구역인 장수초등학교 등 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 추가 설치,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202107281104572140632,전남 광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다 시는 단속을 통해 불법 주정차로 인한 교통체증이 날로 심화되는 것을 
장수경찰서 <b>어린이보호구역</b> 무인 단속 장비 설치 현장점검,http://www.domin.co.kr/news/articleView.html?idxno=1349837,장수경찰서서장 권미자는 지난 일 코로나  방역지침을 준수하면서 관계기관과 함께 어린이보호구역 고정식 무인 단속 장비 설치지점에 대한 합동 현장점검을 실시했다 이번 현장 점검은 경찰 지자체 도로교통공단 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 설치 및 단속 예고,http://www.sisamagazine.co.kr/news/articleView.html?idxno=366597,광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다 시는 단속을 통해 불법 주정차로 인한 교통체증이 날로 심화되는 것을 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 강화,http://www.namdonews.com/news/articleView.html?idxno=654352,전남 광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다 시는 단속을 통해 불법 주정차로 인한 교통체증이 날로 심화되는 것을 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 설치 및 단속 예고,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=468&aid=0000781082,광양시청사 전경 전남 광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다 시는 단속을 통해 불법 주정차로 인한 교통체증이 
광양시, <b>어린이보호구역</b> 내 불법 주·정차 단속 강화... 'CCTV 설치 및 단속'...,http://www.newsworker.co.kr/news/articleView.html?idxno=123893,전남 광양시가어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다고 일 밝혔다 시는 단속을 통해 불법 주정차로 인한 교통체증이 날로 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 설치 및 단속 예고,https://www.geconomy.co.kr/news/article.html?no=113545,고정식  개소 설치 지이코노미 정형관 기자 | 광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다 시는 단속을 통해 
[28일 광양시 소식] <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 설치 등,https://www.asiatime.co.kr/article/20210728500129,광양시청 아시아타임즈한숙경 기자  전남 광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다 시는 단속을 통해 불법 주 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 설치 및 단속 예고,http://www.nspna.com/news/?mode=view&newsid=517360,고정식  개소 설치 김성철 기자 광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개소에 추가 설치하고 오는 월 일부터 단속에 들어간다 시는 단속을 통해 불법 주정차로 인한 
한국교통안전공단, ‘<b>어린이보호구역</b> 안전울타리 설치 캠페인’ 실시,http://www.lawissue.co.kr/view.php?ud=20210802152354466367191f6c6e_12,한국교통안전공단이사장 권용복은 오는 일부터 안전한 도로환경을 조성하기 위해 화물차 불법 판스프링 제거 및 어린이 보호구역 안전 울타리 설치 캠페인을 전개한다고 일 밝혔다 공단에 따르면 이번 캠페인은 
광양시, <b>어린이보호구역</b> 불법 주정차 단속 강화,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005507044,전남 광양시는 월일부터 어린이보호구역 내 불법 주정차 단속을 강화한다고 일 밝혔다 단속 강화를 위해 고정형 단속 를 개소에 추가 설치할 계획이다 시는 단속을 통해 불법 주정차로 심화되는 교통체증을 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 강화,http://news.lghellovision.net/news/newsView.do?soCode=SCE0000000&idx=315660,광양시가 어린이보호구역 불법 주정차 단속을 강화합니다 광양시는 덕례초와 광양서초 등 초등학교 곳에 고정형 단속 를 추가 설치하고 오는 월부터 어린이보호구역 곳 등을 중심으로 불법 주정차 단속을 
포천시, 초등학교 4개소 <b>어린이보호구역</b> 내 LED 바닥신호등 설치,http://www.gukjenews.com/news/articleView.html?idxno=2280711,어린이보호구역 내 횡단보도에  바닥신호등이 설치되어 있다사진제공포천시 한주희기자  포천시는 어린이보호구역 중 보행자의 통행이 빈번하고 횡단 교통사고 위험요소가 많아 교통안전시설 개선이 요구 되는 
<b>어린이 보호구역</b>, 무인 교통단속 장비 확대,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011110397,
[원주]<b>어린이보호구역</b> 불법주정차 단속 강화,http://www.kado.net/news/articleView.html?idxno=1086556,단속반 개조 편성 단속횟수 상향 원주시가 어린이 보호구역이하 스쿨존의 보행 안전을 위해 불법 주정차 차량 단속을 강화한다 시는 지역내 여개 초교 정문 앞 도로에서 고정형 단속 카메라이동 차량주민 신고제를 
&quot;공유킥보드 이용자 3%만 안전모 착용…인도 통행도 여전&quot;,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=586&aid=0000029442,소비자원이 서울 주요 지하철역 주변 개 지점에서 전동킥보드 주정차로 인한 통행 및 시설 이용 방해 사례 건을 분석한 결과점자 보도블록과어린이 보호구역 등에 주정차해 교통약자 및보행자의 통행을 
<b>어린이보호구역</b> 노상주차장 폐지..남구에 집중,https://www.usmbc.co.kr/article/AKKAMOhnW8f_ltL,지난 일 개정 시행된 주차장법에 따라 어린이보호구역에 포함된 울산지역 노상주차장이 폐지될 전망입니다 그러나 폐지 대상으로 선정된 주차장 대부분이 년 단위로 계약하는 거주자우선주차구역으로 계약을 
화물차 불법 판스프링, <b>어린이보호구역</b> 울타리로 재탄생,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010641507,한국교통안전공단은 오는 일부터 국토교통부 경찰청 서울시 현대자동차와 공동으로 화물차 불법 판스프링 제거 및 어린이 보호구역 안전 울타리 설치 캠페인을 펼친다고 일 밝혔다 이번 캠페인은 불법 
한국교통안전공단-국토교통부, '화물차 불법 판스프링 제거 및 <b>어린이 보호</b>구...,http://www.econonews.co.kr/news/articleView.html?idxno=210803,한국교통안전공단은 오는 일부터 국토교통부 경찰청 서울시 현대자동차와 공동으로 화물차 불법 판스프링 제거 및 어린이 보호구역 안전 울타리 설치 캠페인을 펼친다고 일 밝혔다 공단에 따르면 이번 캠페인은 
광양시, <b>어린이보호구역</b> 불법 주·정차 단속 CCTV 설치 및 단속,http://www.thebigdata.co.kr/view.php?ud=20210729062213408448287d60c9_23,전남 광양시는 어린이보호구역 내 불법 주정차 단속 강화를 위해 고정형 단속 를 개 소에 추가 설치하고 오는 월 일부터 단속에 들어간다고 일 밝혔다 시는 단속을 통해 불법 주정차로 인한 교통체증이 날로 
아산시, <b>어린이 보호구역</b> '노란발자국' 설치,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=616165,한화는 지난해부터 어린이보호구역 노란발자국 설치 사업을 후원했다시는 한화의 올해 후원으로 용연초 연화초 둔포초 연작초 주변 개 횡단보도에 보도블럭 형태의 노란발자국을 설치해 내구성을 높일 예정이다 
김철민, <b>어린이 보호구역</b> 내 횡단보도에 '보행자 신호기' 설치 확대,http://www.idsn.co.kr/news/articleView.html?idxno=51560,김철민 의원의원실 제공 어린이 보호구역 내 횡단보도에 보행자 신호기 설치가 확대될 전망이다 김철민 의원더불어민주당 안산 상록을 국회 교육위원회은 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 
은평구, <b>어린이 보호구역</b> 내 보행자 안전차단기 설치,https://www.geconomy.co.kr/news/article.html?no=118244,서신초등학교 통학로에 설치 안전한 보행환경 조성 기대 지이코노미 이승현 기자 |은평구구청장 김미경는 어린이 보호구역 내 교통사고예방과 안전한 보행 환경조성을 위해 서울시 최초로 초등학교 
은평구, 초등학교 <b>어린이 보호구역</b>에 보행자 안전차단기 설치,http://www.cstimes.com/news/articleView.html?idxno=470200,은평구는 교통사고 예방 및 안전한 보행 환경 조성을 위해 초등학교 어린이 보호구역에 보행자 안전차단기를 설치했다고 일 밝혔다 서신초등학교 통학로에 설치된 보행자 안전차단기는 영상인식 기반 를 활용해 시간 
경찰, <b>어린이보호구역</b> 신호·속도 위반 등 집중 단속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011110154,
인천경찰청, 중구 신광초교 <b>어린이보호구역</b> 평일 오후 1∼4시까지 화물차 통행...,http://www.kihoilbo.co.kr/news/articleView.html?idxno=939800,기호일보  아침을 여는 신문 인천경찰청이 중구 신광초교 어린이보호구역스쿨존 일대의 화물차 통행을 부분 제한키로 했다 인천경찰청은 최근 교통안전심의위원회를 열어 중구 신광초등학교 일대의 화물차 
스쿨존 불법 주‧정차 과태료 3배...<b>어린이보호구역</b> 내 규정은?,http://www.fins.co.kr/news/articleView.html?idxno=90746,악사손해보험이 지난해 강화된 스쿨존 규제와 관련해운전자가 알아두면 유익할 어린이보호구역 내 규정에 대해 소개했다 도로교통공단 자료에 따르면 지난해 스쿨존 내 속도제한 및 단속을 강화한 어린이보호구역 
스쿨존 불법 주·정차 과태료 12만원… <b>어린이보호구역</b> 내 규정은?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000717510,어린이보호구역 내 주정차 규정을 위반할 경우 일반도로 과태료보다 배 정도 높은 과태료를 내야 하는 것으로 나타났다 이에 따라 어린이보호구역 내 규정에 대해서도 관심이 높아지고 있다 일 악사손해보험 및 
어려운 '스쿨존' 운전...<b>어린이보호구역</b> 사고 대비하려면?,http://www.babytimes.co.kr/news/articleView.html?idxno=48405,사진행정안전부 제공 어린이보호구역에 진입했습니다 차량을 운전하면서 주거 지역을 지나다 보면 내비게이션에서 종종 들을 수 있는 안내다 주택가를 지나다 보면 인접한 초등학교 근처를 지나는 경우가 있기 
위반 늘었지만 사고 그대로…이름뿐인 <b>어린이</b>'<b>보호</b>'<b>구역</b>,http://www.incheonilbo.com/news/articleView.html?idxno=1107016,어린이보호구역 인천일보 인천지역 어린이보호구역스쿨존 내 속도신호 위반 건수가 올 상반기에만 만건을 돌파하며 역대 최대치를 기록했다 무인 단속카메라 설치 대수가 늘어나면서 교통 법규 위반자가 
김철민 의원, 더 안전한 ‘<b>어린이 보호구역</b>’ 위한 도로교통법 대표발의,https://www.thepublic.kr/news/newsview.php?ncode=1065616126698372, 더퍼블릭  김영덕 기자더불어민주당 김철민 의원은 지난 일 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 확대하는 내용의 도로교통법 개정안을 대표발의했다고 밝혔다 현행법에 따르면 어린이 보호구역 
김천시, <b>어린이보호구역</b>내 노상주차장 폐지,http://www.gokorea.kr/news/articleView.html?idxno=710341,사진구미시교통행정과 대구경북공감신문정상현 기자김천시는 어린이보호구역스쿨존 내 노상주차장 개소에 대하여 전면 폐지한다고 밝혔다 이는 어린이보호구역 내 노상주차장을 전면 폐지해야 된다는 개정 
김철민 의원, 더 안전한 '<b>어린이 보호구역</b>' 설치 위한  도로교통법 개정안 ...,http://www.straightnews.co.kr/news/articleView.html?idxno=111641,김철민 국회의원더불어민주당 안산 상록을 국회 교육위원회 소속 김철민 국회의원더불어민주당 안산 상록을은 일 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 확대하는 내용의 도로교통법 개정안을 
김철민 의원, 더 안전한 <b>어린이 보호구역</b> 위한 '도로교통법' 대표발의,http://www.sisamagazine.co.kr/news/articleView.html?idxno=365403,김철민 의원 더불어민주당 김철민 의원국회 교육위원회 안산 상록을은 일화 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 확대하는 내용의 도로교통법 개정안을 대표발의했다고 밝혔다 현행법에 따르면 
[B tv 서울뉴스]광진구, <b>어린이보호구역</b> 내 노상주차장 폐쇄,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=54&p_no=127254,광진구가 안전한 통학환경 조성을 위해 오는 월까지 어린이보호구역 내 노상주차장을 모두 폐지합니다 이는 월 일부터 시행하는 개정된 도로교통법에 따라 어린이 보호구역 내 주차는 물론 정차행위까지 
김철민 의원, 더 안전한 '<b>어린이 보호구역</b>' 위한 '도로교통법' 대표 발의,http://www.incheonilbo.com/news/articleView.html?idxno=1105850, 더불어민주당 김철민 국회의원 더불어민주당 김철민 의원경기 안산상록을은 일 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 확대하는 내용의 도로교통법 개정안을 대표 발의했다 개정안은 어린이 
김철민 의원, 더 안전한 '<b>어린이 보호구역</b>' 위한 '도로교통법' 대표발의,http://www.gukjenews.com/news/articleView.html?idxno=2271017,사진국제뉴스 더불어민주당 김철민 의원국회 교육위원회 안산 상록을은 일 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 확대하는 내용의 도로교통법개정안을 대표 발의 했다 현행법에 따르면 어린이 
김철민, 더 안전한 <b>어린이 보호구역</b> 만드는 '도로교통법 개정안' 발의,http://www.joongboo.com/news/articleView.html?idxno=363495382,국회 교육위원회 소속인 김철민 더불어민주당 의원안산상록을은 일 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 확대하는 내용의 도로교통법 개정안을 발의했다고 밝혔다 개정안은 어린이 보호구역 내 
與김철민 “<b>어린이 보호구역</b> 내 신호등 확대”…법안 대표발의,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001864035,김철민 더불어민주당 의원은 일 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 늘리는 내용의 도로교통법 개정안을 대표발의했다고 밝혔다 현행법은 어린이 보호구역 내 도로에 우선적으로 설치하도록 하는 
김철민 의원, 더 안전한 <b>어린이 보호구역</b> 만들기 '도로교통법' 대표발의,http://www.kihoilbo.co.kr/news/articleView.html?idxno=938117,기호일보 더불어민주당 김철민국회 교육위원회 안산 상록을 의원은 일 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 확대하는 내용의 도로교통법 개정안을 대표발의했다고 밝혔다 현행법에 따르면 
김철민 의원 &quot;<b>어린이 보호구역</b> 내 횡단보도에 신호기 설치 확대를&quot;,http://www.kyeongin.com/main/view.php?key=20210720010003743,김철민 의원 더불어민주당 김철민안산상록을 의원은 일 어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 확대하는 도로교통법 개정안을 발의했다현행법은 어린이 보호구역 내 도로에는 무인 단속용 장비와 함께 
김철민 의원, 더 안전한 ‘<b>어린이 보호구역</b>’ 위한 '도로교통법' 대표발의,http://www.shinailbo.co.kr/news/articleView.html?idxno=1438507,더불어민주당 김철민 의원국회 교육위원회 안산 상록을은 일어린이 보호구역 내 횡단보도에 보행자 신호기 설치를 확대하는 내용의 도로교통법 개정안을 대표발의했다고 밝혔다 현행법에 따르면 어린이 보호구역 
구리시,5개 초등학교(<b>어린이보호구역</b> 내) 횡단보도 옐로카펫 5개소,‘노란발자...,http://www.viva100.com/main/view.php?key=20210720010004743,구리시개 초등학교어린이보호구역 내 횡단보도 옐로카펫 개소노란발자국개소설치 경기 구리시는 관내 개 초등학교어린이보호구역 내 인근 횡단보도 주변에 옐로카펫 개소 노란발자국 개소를 설치 
증평군, <b>어린이보호구역</b> 교통안전도 도내 1위 기록,http://www.breaknews.com/821744,증평군이 충북지역에서 어린이보호구역의 교통 환경이 가장 안전한 것으로 나타났다 지난 일 충북경찰청이 발표한 어린이보호구역별 교통환경 위험도평가 
<b>어린이보호구역</b>에 시속 60㎞ 속도제한… 동방초등학교 등하교 학생들 위험 노...,http://www.kbsm.net/default/index_view_page.php?idx=318029&part_idx=320,정부의 안전속도 정책 도입으로 도심지역뿐만 아니라 자동차 전용도로를 제외한 국도 전 지역의 차량 제한속도가 점차 하향될 것으로 전망되는 가운데 경주시 월성동 동방초등학교 앞 국도호선은 어린이보호구역임 
증평군, <b>어린이보호구역</b> 교통안전도 도내 1위 차지,http://www.gukjenews.com/news/articleView.html?idxno=2269322,어린이보호구역 모습제공증평군청 충북 증평군이 충북지역에서 어린이보호구역의 교통 환경이 가장 안전한 것으로 나타났다 지난 일 충북경찰청이 발표한 어린이보호구역별 교통환경 위험도 평가 결과에서 
증평 <b>어린이보호구역</b>, 충북서 가장 안전,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010614412,충북 증평군의 어린이보호구역이 가장 안전한 것으로 나타났다 일 증평군에 따르면 충북경찰청이 최근 발표한 어린이보호구역별 교통환경 위험도 평가 결과 증평군은 점을 얻었다 충북 개 시군 가운데 
증평군, <b>어린이보호구역</b> 교통안전도 충북 1위,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=613578,증평군 어린이보호구역 정비사진증평군 충북 증평군이 충북지역에서 어린이보호구역의 교통 환경이 가장 안전한 것으로 나타났다 지난 일 충북경찰청이 발표한어린이보호구역별 교통환경 위험도평가 
충북서 가장 안전한 <b>어린이보호구역</b>은?…<b>어린이</b>들 생각한 증평의 ‘안전한 통...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003086399,증평군의 어린이보호구역이 충북지역에서 가장 안전한 것으로 나타났다 증평군은 지난 일 충북경찰청이 발표한 어린이보호구역별 교통환경 위험도평가에서 점을 기록했다고 일 밝혔다 충북 개 시군 중 
양산시, <b>어린이보호구역</b> 내 무인교통단속 장비 대폭 확충,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001107685,어린이 보행 안전 확보를 위해 어린이보호구역을 중심으로 무인교통단속 장비 확충에 나선 양산시 양산시 제공 경남 양산시는 어린이 보행 안전 확보를 위해 어린이보호구역을 중심으로 무인교통단속 장비를 대폭 
강화되는 스쿨존 규제…<b>어린이보호구역</b> 사고 대비하려면?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=243&aid=0000014689,어린이보호구역스쿨존 사고를 줄이기 위한 정부의 규제가 점차 강화되면서 해당 규정에 대한 운전자들의 관심이 높아지고 있다 행정안전부는 지난 월 일부터 개정 도로교통법 시행령에 따라 어린이보호구역 내 주 
증평, <b>어린이보호구역</b> 교통안전도 '1위',https://www.cctoday.co.kr/news/articleView.html?idxno=2146345,증평군 제공충청투데이  증평군이 충북에서 어린이보호구역 교통 환경이 가장 안전한 것으로 나타났다일 군에 따르면 충북경찰청이 지난 일 발표한 어린이보호구역별 교통환경 위험도 평가 결과에서 군이  
증평군, <b>어린이보호구역</b> 교통안전도 도내 1위,https://www.inews365.com/news/article.html?no=674926,충북일보 증평군이 충북지역에서 어린이보호구역의 교통 환경이 가장 안전한 것으로 나타났다 지난 일 충북경찰청이 발표한 어린이보호구역별 교통환경 위험도평가 결과 증평군은 점으로 도내에서 
증평군 <b>어린이보호구역</b> 교통안전도 '충북 1위',http://www.newspim.com/news/view/20210719000622,증평군이 충북에서 어린이보호구역의 교통 환경이 가장 안전한 것으로 나타났다 일 증평군에 따르면 충북경찰청이 발표한 어린이보호구역별 교통환경 위험도평가 결과 군은 점으로 도내에서 유일하게 점 
증평군, <b>어린이보호구역</b> 교통안전도 도내 1위,http://www.bzeronews.com/news/articleView.html?idxno=483295,증평군이 충북지역에서 어린이보호구역의 교통 환경이 가장 안전한 것으로 나타났다 지난 일 충북경찰청이 발표한어린이보호구역별 교통환경 위험도평가 결과에서 증평군은 점으로 도내에서 유일하게 점 
증평군, <b>어린이보호구역</b> 관리 도내 최고,http://www.dynews.co.kr/news/articleView.html?idxno=638192,동양일보 김진식 기자증평군이 충북도내 어린이보호구역 중 교통 환경이 가장 안전한 것으로 나타났다 지난 일 충북경찰청이 발표에 따르면어린이보호구역별 교통환경 위험도평가 결과에서 증평군은  
